id,id_terreno,id_hibrido,year,siembra,cosecha,condiciones
1,5,6,2017,6/30/2017,11/2/2017,Temporal
2,5,12,2017,6/30/2017,11/2/2017,Temporal
3,5,20,2017,6/30/2017,11/2/2017,Temporal
4,5,22,2017,6/30/2017,11/2/2017,Temporal
5,5,23,2017,6/30/2017,11/2/2017,Temporal
6,5,24,2017,6/30/2017,11/2/2017,Temporal
7,5,25,2017,6/30/2017,11/2/2017,Temporal
8,5,28,2017,6/30/2017,11/2/2017,Temporal
9,5,36,2017,6/30/2017,11/2/2017,Temporal
10,5,44,2017,6/30/2017,11/2/2017,Temporal
11,5,45,2017,6/30/2017,11/2/2017,Temporal
12,5,46,2017,6/30/2017,11/2/2017,Temporal
13,5,47,2017,6/30/2017,11/2/2017,Temporal
14,5,48,2017,6/30/2017,11/2/2017,Temporal
15,5,54,2017,6/30/2017,11/2/2017,Temporal
16,5,56,2017,6/30/2017,11/2/2017,Temporal
17,5,62,2017,6/30/2017,11/2/2017,Temporal
18,5,66,2017,6/30/2017,11/2/2017,Temporal
19,5,67,2017,6/30/2017,11/2/2017,Temporal
20,5,70,2017,6/30/2017,11/2/2017,Temporal
21,5,71,2017,6/30/2017,11/2/2017,Temporal
22,5,72,2017,6/30/2017,11/2/2017,Temporal
23,5,73,2017,6/30/2017,11/2/2017,Temporal
24,5,74,2017,6/30/2017,11/2/2017,Temporal
25,5,76,2017,6/30/2017,11/2/2017,Temporal
26,5,77,2017,6/30/2017,11/2/2017,Temporal
27,5,78,2017,6/30/2017,11/2/2017,Temporal
28,5,79,2017,6/30/2017,11/2/2017,Temporal
29,5,80,2017,6/30/2017,11/2/2017,Temporal
30,5,85,2017,6/30/2017,11/2/2017,Temporal
31,5,95,2017,6/30/2017,11/2/2017,Temporal
32,5,97,2017,6/30/2017,11/2/2017,Temporal
33,5,98,2017,6/30/2017,11/2/2017,Temporal
34,5,104,2017,6/30/2017,11/2/2017,Temporal
35,5,105,2017,6/30/2017,11/2/2017,Temporal
36,5,106,2017,6/30/2017,11/2/2017,Temporal
37,5,118,2017,6/30/2017,11/2/2017,Temporal
38,5,119,2017,6/30/2017,11/2/2017,Temporal
39,5,120,2017,6/30/2017,11/2/2017,Temporal
40,5,124,2017,6/30/2017,11/2/2017,Temporal
41,5,125,2017,6/30/2017,11/2/2017,Temporal
42,5,137,2017,6/30/2017,11/2/2017,Temporal
43,5,140,2017,6/30/2017,11/2/2017,Temporal
44,5,142,2017,6/30/2017,11/2/2017,Temporal
45,5,145,2017,6/30/2017,11/2/2017,Temporal
46,5,146,2017,6/30/2017,11/2/2017,Temporal
47,5,152,2017,6/30/2017,11/2/2017,Temporal
48,5,156,2017,6/30/2017,11/2/2017,Temporal
49,5,157,2017,6/30/2017,11/2/2017,Temporal
50,5,160,2017,6/30/2017,11/2/2017,Temporal
51,5,177,2017,6/30/2017,11/2/2017,Temporal
52,5,186,2017,6/30/2017,11/2/2017,Temporal
53,5,188,2017,6/30/2017,11/2/2017,Temporal
54,5,192,2017,6/30/2017,11/2/2017,Temporal
55,5,196,2017,6/30/2017,11/2/2017,Temporal
56,5,199,2017,6/30/2017,11/2/2017,Temporal
57,5,200,2017,6/30/2017,11/2/2017,Temporal
58,5,201,2017,6/30/2017,11/2/2017,Temporal
59,2,12,2017,5/31/2017,10/21/2017,Riego
60,2,17,2017,5/31/2017,10/21/2017,Riego
61,2,23,2017,5/31/2017,10/21/2017,Riego
62,2,24,2017,5/31/2017,10/21/2017,Riego
63,2,49,2017,5/31/2017,10/21/2017,Riego
64,2,52,2017,5/31/2017,10/21/2017,Riego
65,2,54,2017,5/31/2017,10/21/2017,Riego
66,2,66,2017,5/31/2017,10/21/2017,Riego
67,2,67,2017,5/31/2017,10/21/2017,Riego
68,2,73,2017,5/31/2017,10/21/2017,Riego
69,2,77,2017,5/31/2017,10/21/2017,Riego
70,2,105,2017,5/31/2017,10/21/2017,Riego
71,2,120,2017,5/31/2017,10/21/2017,Riego
72,2,125,2017,5/31/2017,10/21/2017,Riego
73,2,137,2017,5/31/2017,10/21/2017,Riego
74,2,146,2017,5/31/2017,10/21/2017,Riego
75,2,152,2017,5/31/2017,10/21/2017,Riego
76,2,185,2017,5/31/2017,10/21/2017,Riego
77,2,188,2017,5/31/2017,10/21/2017,Riego
78,2,199,2017,5/31/2017,10/21/2017,Riego
79,2,200,2017,5/31/2017,10/21/2017,Riego
80,2,201,2017,5/31/2017,10/21/2017,Riego
81,1,12,2017,5/27/2017,10/18/2017,Riego
82,1,17,2017,5/27/2017,10/18/2017,Riego
83,1,23,2017,5/27/2017,10/18/2017,Riego
84,1,24,2017,5/27/2017,10/18/2017,Riego
85,1,49,2017,5/27/2017,10/18/2017,Riego
86,1,54,2017,5/27/2017,10/18/2017,Riego
87,1,66,2017,5/27/2017,10/18/2017,Riego
88,1,67,2017,5/27/2017,10/18/2017,Riego
89,1,72,2017,5/27/2017,10/18/2017,Riego
90,1,73,2017,5/27/2017,10/18/2017,Riego
91,1,76,2017,5/27/2017,10/18/2017,Riego
92,1,79,2017,5/27/2017,10/18/2017,Riego
93,1,85,2017,5/27/2017,10/18/2017,Riego
94,1,105,2017,5/27/2017,10/18/2017,Riego
95,1,106,2017,5/27/2017,10/18/2017,Riego
96,1,120,2017,5/27/2017,10/18/2017,Riego
97,1,125,2017,5/27/2017,10/18/2017,Riego
98,1,137,2017,5/27/2017,10/18/2017,Riego
99,1,140,2017,5/27/2017,10/18/2017,Riego
100,1,146,2017,5/27/2017,10/18/2017,Riego
101,1,152,2017,5/27/2017,10/18/2017,Riego
102,1,177,2017,5/27/2017,10/18/2017,Riego
103,1,186,2017,5/27/2017,10/18/2017,Riego
104,1,188,2017,5/27/2017,10/18/2017,Riego
105,1,199,2017,5/27/2017,10/18/2017,Riego
106,1,201,2017,5/27/2017,10/18/2017,Riego
107,3,12,2017,6/15/2017,10/30/2017,Temporal
108,3,24,2017,6/15/2017,10/30/2017,Temporal
109,3,54,2017,6/15/2017,10/30/2017,Temporal
110,3,77,2017,6/15/2017,10/30/2017,Temporal
111,3,105,2017,6/15/2017,10/30/2017,Temporal
112,3,106,2017,6/15/2017,10/30/2017,Temporal
113,3,120,2017,6/15/2017,10/30/2017,Temporal
114,3,125,2017,6/15/2017,10/30/2017,Temporal
115,3,137,2017,6/15/2017,10/30/2017,Temporal
116,3,140,2017,6/15/2017,10/30/2017,Temporal
117,3,146,2017,6/15/2017,10/30/2017,Temporal
118,3,200,2017,6/15/2017,10/30/2017,Temporal
119,3,201,2017,6/15/2017,10/30/2017,Temporal
120,4,12,2017,6/29/2017,11/1/2017,Temporal
121,4,23,2017,6/29/2017,11/1/2017,Temporal
122,4,24,2017,6/29/2017,11/1/2017,Temporal
123,4,72,2017,6/29/2017,11/1/2017,Temporal
124,4,77,2017,6/29/2017,11/1/2017,Temporal
125,4,105,2017,6/29/2017,11/1/2017,Temporal
126,4,120,2017,6/29/2017,11/1/2017,Temporal
127,4,137,2017,6/29/2017,11/1/2017,Temporal
128,4,140,2017,6/29/2017,11/1/2017,Temporal
129,4,146,2017,6/29/2017,11/1/2017,Temporal
130,4,152,2017,6/29/2017,11/1/2017,Temporal
131,4,177,2017,6/29/2017,11/1/2017,Temporal
132,4,188,2017,6/29/2017,11/1/2017,Temporal
133,1,48,2018,5/20/2018,10/10/2018,Riego
134,1,78,2018,5/20/2018,10/10/2018,Riego
135,1,148,2018,5/20/2018,10/10/2018,Riego
136,1,80,2018,5/20/2018,10/10/2018,Riego
137,1,200,2018,5/20/2018,10/10/2018,Riego
138,1,142,2018,5/20/2018,10/10/2018,Riego
139,1,178,2018,5/20/2018,10/10/2018,Riego
140,1,188,2018,5/20/2018,10/10/2018,Riego
141,1,39,2018,5/20/2018,10/10/2018,Riego
142,1,128,2018,5/20/2018,10/10/2018,Riego
143,1,24,2018,5/20/2018,10/10/2018,Riego
144,1,77,2018,5/20/2018,10/10/2018,Riego
145,1,72,2018,5/20/2018,10/10/2018,Riego
146,1,137,2018,5/20/2018,10/10/2018,Riego
147,1,42,2018,5/20/2018,10/10/2018,Riego
148,1,40,2018,5/20/2018,10/10/2018,Riego
149,1,54,2018,5/20/2018,10/10/2018,Riego
150,1,143,2018,5/20/2018,10/10/2018,Riego
151,1,30,2018,5/20/2018,10/10/2018,Riego
152,1,51,2018,5/20/2018,10/10/2018,Riego
153,1,128,2018,5/20/2018,10/10/2018,Riego
154,1,23,2018,5/20/2018,10/10/2018,Riego
155,1,141,2018,5/20/2018,10/10/2018,Riego
156,1,75,2018,5/20/2018,10/10/2018,Riego
157,1,180,2018,5/20/2018,10/10/2018,Riego
158,1,119,2018,5/20/2018,10/10/2018,Riego
159,1,204,2018,5/20/2018,10/10/2018,Riego
160,1,120,2018,5/20/2018,10/10/2018,Riego
161,1,125,2018,5/20/2018,10/10/2018,Riego
162,1,185,2018,5/20/2018,10/10/2018,Riego
163,6,80,2018,6/2/2018,10/23/2018,Riego
164,6,78,2018,6/2/2018,10/23/2018,Riego
165,6,186,2018,6/2/2018,10/23/2018,Riego
166,6,148,2018,6/2/2018,10/23/2018,Riego
167,6,54,2018,6/2/2018,10/23/2018,Riego
168,6,77,2018,6/2/2018,10/23/2018,Riego
169,6,23,2018,6/2/2018,10/23/2018,Riego
170,6,201,2018,6/2/2018,10/23/2018,Riego
171,6,141,2018,6/2/2018,10/23/2018,Riego
172,6,200,2018,6/2/2018,10/23/2018,Riego
173,6,39,2018,6/2/2018,10/23/2018,Riego
174,6,137,2018,6/2/2018,10/23/2018,Riego
175,6,48,2018,6/2/2018,10/23/2018,Riego
176,6,24,2018,6/2/2018,10/23/2018,Riego
177,6,72,2018,6/2/2018,10/23/2018,Riego
178,6,188,2018,6/2/2018,10/23/2018,Riego
179,6,125,2018,6/2/2018,10/23/2018,Riego
180,2,48,2018,5/25/2018,10/12/2018,Riego
181,2,78,2018,5/25/2018,10/12/2018,Riego
182,2,148,2018,5/25/2018,10/12/2018,Riego
183,2,80,2018,5/25/2018,10/12/2018,Riego
184,2,200,2018,5/25/2018,10/12/2018,Riego
185,2,142,2018,5/25/2018,10/12/2018,Riego
186,2,178,2018,5/25/2018,10/12/2018,Riego
187,2,188,2018,5/25/2018,10/12/2018,Riego
188,2,39,2018,5/25/2018,10/12/2018,Riego
189,2,128,2018,5/25/2018,10/12/2018,Riego
190,2,24,2018,5/25/2018,10/12/2018,Riego
191,2,77,2018,5/25/2018,10/12/2018,Riego
192,2,72,2018,5/25/2018,10/12/2018,Riego
193,2,137,2018,5/25/2018,10/12/2018,Riego
194,2,42,2018,5/25/2018,10/12/2018,Riego
195,2,40,2018,5/25/2018,10/12/2018,Riego
196,2,54,2018,5/25/2018,10/12/2018,Riego
197,2,143,2018,5/25/2018,10/12/2018,Riego
198,2,30,2018,5/25/2018,10/12/2018,Riego
199,2,51,2018,5/25/2018,10/12/2018,Riego
200,2,92,2018,5/25/2018,10/12/2018,Riego
201,2,23,2018,5/25/2018,10/12/2018,Riego
202,2,141,2018,5/25/2018,10/12/2018,Riego
203,2,75,2018,5/25/2018,10/12/2018,Riego
204,2,180,2018,5/25/2018,10/12/2018,Riego
205,2,119,2018,5/25/2018,10/12/2018,Riego
206,2,204,2018,5/25/2018,10/12/2018,Riego
207,2,120,2018,5/25/2018,10/12/2018,Riego
208,2,125,2018,5/25/2018,10/12/2018,Riego
209,2,185,2018,5/25/2018,10/12/2018,Riego
210,7,188,2018,7/3/2018,11/13/2018,Temporal
211,7,24,2018,7/3/2018,11/13/2018,Temporal
212,7,19,2018,7/3/2018,11/13/2018,Temporal
213,7,178,2018,7/3/2018,11/13/2018,Temporal
214,7,78,2018,7/3/2018,11/13/2018,Temporal
215,7,186,2018,7/3/2018,11/13/2018,Temporal
216,7,23,2018,7/3/2018,11/13/2018,Temporal
217,7,139,2018,7/3/2018,11/13/2018,Temporal
218,7,201,2018,7/3/2018,11/13/2018,Temporal
219,7,137,2018,7/3/2018,11/13/2018,Temporal
220,7,128,2018,7/3/2018,11/13/2018,Temporal
221,7,54,2018,7/3/2018,11/13/2018,Temporal
222,7,70,2018,7/3/2018,11/13/2018,Temporal
223,7,21,2018,7/3/2018,11/13/2018,Temporal
224,7,125,2018,7/3/2018,11/13/2018,Temporal
225,7,3,2018,7/3/2018,11/13/2018,Temporal
226,7,119,2018,7/3/2018,11/13/2018,Temporal
227,7,51,2018,7/3/2018,11/13/2018,Temporal
228,7,10,2018,7/3/2018,11/13/2018,Temporal
229,7,60,2018,7/3/2018,11/13/2018,Temporal
230,7,37,2018,7/3/2018,11/13/2018,Temporal
231,7,185,2018,7/3/2018,11/13/2018,Temporal
232,7,120,2018,7/3/2018,11/13/2018,Temporal
233,7,161,2018,7/3/2018,11/13/2018,Temporal
234,7,29,2018,7/3/2018,11/13/2018,Temporal
235,7,204,2018,7/3/2018,11/13/2018,Temporal
236,7,140,2018,7/3/2018,11/13/2018,Temporal
237,7,94,2018,7/3/2018,11/13/2018,Temporal
