id,marca,hibrido
1,NOVASEM,806
2,AZTECA,999
3,Rica,1/4 MILLA
4,AGRIBIOTECH/ALEVO,20W41
5,ALEVO,20Y65
6,Eagle,215W
7,CROPLAN,2205W
8,CROPLAN,2206Y
9,EAGLE,241W
10,EAGLE,253W
11,EAGLE,290W
12,Dow AgroSciences,2A120
13,EAGLE,300Y
14,EAGLE,50F12W
15,CROPLAN,7017Y
16,Agribiotech,ABT1226
17,Rica,Alazán
18,ASGROW,Alce
19,,ALICANTE
20,CRIOLLO,AMARILLO ZAMORANO
21,,ANIBAL
22,Asgrow,Antilope
23,Asgrow,ANTILOPEY
24,Aspros,AQUILES
25,Unisem,Ares
26,ADVANTA,Ariete
27,VENCEDOR,ARTICO
28,Aspros,AS1503
29,,ASH-1025
30,,ASH-1124
31,,ASH-1141
32,,ASH-1758
33,AZTECA,AZ444
34,AZTECA,AZ555A
35,ZENON MEDINA,B-70
36,Biosemillas,B1020Y
37,,B2120
38,,B2928
39,BREVANT,B3650
40,BREVANT,B3706
41,BREVANT,B3715
42,BREVANT,B3732
43,BREVANT,B3767
44,Biosemillas,B937
45,Bidasem,BD212
46,Bidasem,BD54
47,Bidasem,BD55
48,ASGROW,Berrendo
49,Biogene,BG5450W
50,RICA,Bragado
51,,BUCEFALO
52,Zarco,C05
53,CROPLAN,C1122W
54,ASGROW,CAMALEON
55,,CAMPEADOR
56,Rica,Canelo
57,ADVANTA,CAÑONERO
58,,CASCABEL
59,CB,CB100
60,,CME309A
61,FITOGEN,COLOSO
62,Correa,Correa
63,CRIOLLO,CRIOLLO 2
64,CRIOLLO,CRIOLLO 3
65,,CRM28
66,CB,CRM52
67,CB,CRM60
68,,CRM77
69,ASPROS,Cromo
70,Dow AgroSciences,DAS2306
71,Dow AgroSciences,DAS2358
72,Dow AgroSciences,DAS2370
73,Dow AgroSciences,DAS3327
74,Dow AgroSciences,DAS3359
75,,DIAMANTE AMARILLO
76,Winner,Diamante Blanco
77,DEKALB,DK2037
78,DEKALB,DK2061
79,DEKALB,DK2061Y
80,DEKALB,DK2069
81,DEKALB,DK4018
82,DEKALB,DK4020Y
83,DEKALB,DK4021
84,DEKALB,DK4024
85,Rica,Dorado
86,MEDIMEX,EBANO
87,CERES,Edison
88,UNISEM,Eón
89,ASPROS,Espartaco
90,,FOSA 2
91,,FOSA 3
92,,FOSA 447
93,FUSSINNI,Galáctico
94,CERES,GALILEO
95,Winner,GoldenV
96,,GORRION
97,Rogo-INIFAP,H-318
98,Rogo-INIFAP,H-377
99,INIFAP,H-383
100,INIFAP,H-386A
101,INIFAP,H-392
102,INIFAP,H383
103,ASPROS,HERCULES
104,Unisem,Hércules 34
105,UNISEM,HERMES
106,Fosa,HV313
107,BERENTSEN,IMPARABLE
108,CERES,KEPLER
109,ASGROW,Kodiak
110,LUCERO,L046
111,LUCERO,L1825
112,BERENTSEN,LEÑADOR
113,MEDIMEX,MANGLE
114,ASGROW,Mantarraya
115,MASSEEDS,MASTROP143
116,VENCEDOR,Maya
117,UNISEM,Midas
118,NOVASEM,N1R03
119,NOVASEM,N1R07
120,SYNGENTA,N83N5
121,NOVASEM,NA875
122,NOVASEM,NA975
123,ADVANTA,Navío
124,NOVASEM,NB11
125,NOVASEM,NB21
126,NOVASEM,NB722
127,NOVASEM,NB723
128,NOVASEM,NB777
129,NOVASEM,NB821
130,NOVASEM,NB931
131,NOVASEM,NB950
132,NK,NK307
133,NK,NK833
134,NK,NK858W
135,NK,NK880W
136,NK,NK921W
137,ASPROS,NOBLE
138,ASGROW,ORICE
139,PIONNER,P2327W
140,PIONNER,P2361W
141,PIONNER,P3011W
142,PIONNER,P3015W
143,PIONNER,P3026W
144,PIONNER,P3051W
145,PIONNER,P3055W
146,PIONNER,P3057W
147,PIONNER,P32208W
148,PIONNER,P3260W
149,PIONNER,P3261W
150,PIONNER,P3262W
151,PIONNER,P3265W
152,PIONNER,P3368W
153,WINNER,Paladio
154,ASPROS,Patriota
155,BORREGO DE ORO,Pelibuey
156,Unisem,Perseo
157,Winner,Platino Extremo
158,RICA,Potrillo SQ/MC
159,INIFAP,R-48
160,Rica,Rocinante
161,,ROSILLO
162,,RX860
163,SEMTEK,S-1045
164,ASGROW,SALAMANDRA
165,ASPROS,SAMURAI
166,REGA,SAN JUAN
167,CRIOLLO,SAN MIGUEL
168,BERENTSEN,SB340M
169,BERENTSEN,SB366
170,BERENTSEN,SB390
171,BERENTSEN,SBA488
172,MILPAL,SM383
173,PROSESP,SP-404W
174,,STB
175,ASPROS,SUPREMO
176,SYNGENTA,SYN307
177,SYNGENTA,SYN914
178,SYNGENTA,SYN921W
179,SYNGENTA,SYN925W
180,,SZ6018
181,UNISEM,Temis 40
182,TECHAG,TG8590Y
183,TECHAG,TG8933W
184,TECHAG,TG9545Y
185,TECHAG,TG955W
186,TECHAG,TG957W
187,TECHAG,TG966W
188,TECHAG,TG969W
189,TECHAG,TG976W
190,TECHAG,TG977W
191,TECHAG,TG978W
192,Asgrow,TigreY
193,ASGROW,Tigrillo
194,UNISEM,TITAN
195,ASPROS,XM2611
196,CERES,XR22A
197,CERES,XR35A
198,CERES,XR39A
199,CERES,XR47
200,CERES,XR49
201,CERES,XR60
202,,ZENZONTLE
203,UNISEM,ZEUS
204,,ZORRO
