id,id_ciclo,metodologia,pem,pff,dff,ucaff,npc,ppc,rmf,ms,cen,gc,pc,fdn,cnf,rms,rcen,rgc,rpc,rfdn,rcnf,dms24,rmsd24,dms30,rmsd30,dms48,rmsd48,st_0-3
1,1,Química Húmeda,"92,2",,"73,7",,74818,88,,"46,7","3,93","2,03","8,03","50,2","35,8",16,,,,,,,,,,,,
2,2,Química Húmeda,"84,9",,"72,7",,71276,"83,9",,"47,9","4,02","2,12","8,35","47,4","38,2",16,,,,,,,,,,,,
3,3,Química Húmeda,"92,7",,"71,3",,71276,"83,8",,52,"3,51","2,62","8,36","44,7","40,8","12,9",,,,,,,,,,,,
4,4,Química Húmeda,"94,8",,"77,3",,79245,"93,3",,"39,6","4,1","2,11","7,84","51,1","34,8","19,6",,,,,,,,,,,,
5,5,Química Húmeda,"96,9",,77,,81016,"95,3",,"40,9","3,75","2,38","7,66",48,"38,2","18,6",,,,,,,,,,,,
6,6,Química Húmeda,"94,3",,"72,3",,78802,"92,7",,40,"4,22","1,98","8,32","49,3","36,2","17,7",,,,,,,,,,,,
7,7,Química Húmeda,"84,4",,"78,3",,72604,"85,4",,"42,1","4,13","2,04","8,39","49,2","36,3",16,,,,,,,,,,,,
8,8,Química Húmeda,"92,2",,"75,3",,79688,"93,8",,"38,2","4,63","2,44","8,5",51,"33,5","16,1",,,,,,,,,,,,
9,9,Química Húmeda,"81,3",,79,,70391,"82,8",,"39,7","4,75","1,88","8,67","55,6","29,1","15,4",,,,,,,,,,,,
10,10,Química Húmeda,"78,1",,83,,66406,"78,1",,"39,9","3,76","1,71","8,73",54,"31,8","15,5",,,,,,,,,,,,
11,11,Química Húmeda,"78,9",,77,,66406,"78,1",,"35,9","5,05","2,25","9,22","50,3","33,2","16,1",,,,,,,,,,,,
12,12,Química Húmeda,"86,7",,80,,71055,"83,6",,"41,5","4,01","1,59","8,59","58,4","26,5","15,6",,,,,,,,,,,,
13,13,Química Húmeda,"85,4",,"81,7",,67734,"79,7",,"36,7","4,11","1,8","8,31","47,9","37,9","15,5",,,,,,,,,,,,
14,14,Química Húmeda,"92,2",,78,,77474,"91,1",,"40,6","3,77","2,29","8,17","45,1","40,7","18,2",,,,,,,,,,,,
15,15,Química Húmeda,"90,6",,"76,3",,74818,88,,"38,6","4,54","2,52","8,35","46,4","38,2","19,3",,,,,,,,,,,,
16,16,Química Húmeda,"77,3",,"81,7",,67070,"78,9",,"37,8","4,37","1,82","8,5","55,4","29,9","13,2",,,,,,,,,,,,
17,17,Química Húmeda,"90,1",,"82,7",,73047,"85,9",,"38,1","4,29","1,99","7,99","52,5","33,2","14,9",,,,,,,,,,,,
18,18,Química Húmeda,"83,9",,83,,70833,"83,3",,"37,2","4,42","1,72","8,16","53,3","32,3","13,7",,,,,,,,,,,,
19,19,Química Húmeda,"95,3",,77,,79245,"93,2",,41,"4,43","1,85","7,8","51,9",34,17,,,,,,,,,,,,
20,20,Química Húmeda,"89,1",,78,,76367,"89,8",,"46,6","3,72","2,05","8,54","48,2","37,5","14,9",,,,,,,,,,,,
21,21,Química Húmeda,"77,3",,"74,7",,64414,"75,8",,"43,7","4,44","2,1","8,78","50,6","34,1","13,8",,,,,,,,,,,,
22,22,Química Húmeda,"80,2",,"77,3",,69062,"81,2",,"39,6","4,12","2,07","8,21","48,9","36,7","16,6",,,,,,,,,,,,
23,23,Química Húmeda,"83,4",,"76,3",,70391,"82,8",,"38,9","4,17","2,11","8,25","50,1","35,4",15,,,,,,,,,,,,
24,24,Química Húmeda,"87,5",,"75,7",,73932,87,,"41,1","4,13","1,83","8,04","50,2","35,8","17,5",,,,,,,,,,,,
25,25,Química Húmeda,"84,4",,79,,67735,"79,7",,"41,1","4,75","1,93","8,52","52,1","32,7","16,4",,,,,,,,,,,,
26,26,Química Húmeda,"93,2",,"77,3",,77916,"91,7",,"41,4","4,01","2,15","7,42","49,3","37,2","17,3",,,,,,,,,,,,
27,27,Química Húmeda,"96,3",,"76,7",,82344,"96,9",,"41,9","4,09","2,04","7,97","46,6","39,3","21,6",,,,,,,,,,,,
28,28,Química Húmeda,"96,9",,76,,77474,"91,1",,"42,3","3,91","2,03","7,57","48,4","38,1",17,,,,,,,,,,,,
29,29,Química Húmeda,"95,3",,"79,3",,79688,"93,7",,"43,5","3,73","2,41","7,55","49,3",37,"18,1",,,,,,,,,,,,
30,30,Química Húmeda,88,,74,,70391,"82,8",,"49,6","4,35","2,01","8,11","50,5","35,1","13,3",,,,,,,,,,,,
31,31,Química Húmeda,"95,3",,"69,7",,74818,88,,"52,8","4,22","2,07","8,58","49,9","35,2","14,8",,,,,,,,,,,,
32,32,Química Húmeda,"93,7",,"79,3",,73489,"86,5",,"45,7","4,76","1,82","8,48","54,8","30,2","13,9",,,,,,,,,,,,
33,33,Química Húmeda,"89,1",,81,,71055,"83,6",,"42,4","4,79","1,84","8,79","50,8","33,8","15,6",,,,,,,,,,,,
34,34,Química Húmeda,"93,2",,"78,7",,80130,"94,3",,44,"4,45","1,77","8,95","50,1","34,8","15,9",,,,,,,,,,,,
35,35,Química Húmeda,"97,4",,"70,7",,76589,"90,1",,"53,8","4,19","2,42","8,49","45,8","39,1",16,,,,,,,,,,,,
36,36,Química Húmeda,88,,"78,3",,74818,88,,37,"4,52",2,"7,9","55,8","29,8","17,5",,,,,,,,,,,,
37,37,Química Húmeda,"90,1",,"79,7",,72604,"85,4",,"35,8","4,42",2,"8,35","51,2","34,1","13,5",,,,,,,,,,,,
38,38,Química Húmeda,"77,3",,"72,7",,65742,"77,3",,"43,3","3,85","2,52","8,61","41,6","43,4",18,,,,,,,,,,,,
39,39,Química Húmeda,"95,3",,71,,79245,"93,3",,"52,9","3,96","2,29","7,86",47,"38,9","16,5",,,,,,,,,,,,
40,40,Química Húmeda,"83,6",,"76,7",,70391,"82,8",,"41,2","4,12","1,87",9,"50,7","34,3","14,3",,,,,,,,,,,,
41,41,Química Húmeda,"91,1",,73,,76589,"90,1",,"42,5","4,8","2,32","8,55","44,6","39,7","17,5",,,,,,,,,,,,
42,42,Química Húmeda,"93,7",,74,,78802,"92,7",,39,"4,17","1,94","8,02","48,3","37,6","17,8",,,,,,,,,,,,
43,43,Química Húmeda,"90,6",,"72,3",,73932,87,,"49,3","4,08","1,94","8,03","46,3","39,6","18,3",,,,,,,,,,,,
44,44,Química Húmeda,"89,8",,73,,73711,"86,7",,45,"3,74","1,94","8,4",47,"38,9","19,7",,,,,,,,,,,,
45,45,Química Húmeda,"92,2",,"74,7",,77031,"90,6",,43,"4,05","1,98","8,2","52,1","33,7","16,6",,,,,,,,,,,,
46,46,Química Húmeda,"90,1",,"73,7",,75703,"89,1",,"45,5","3,63","1,98","7,92","49,5",37,"18,4",,,,,,,,,,,,
47,47,Química Húmeda,86,,"74,3",,73490,"86,5",,"40,4","4,12","1,92","7,86","45,6","40,5","15,3",,,,,,,,,,,,
48,48,Química Húmeda,87,,"79,3",,73047,"85,9",,"45,6","4,36","1,77","8,74","55,9","29,2","15,7",,,,,,,,,,,,
49,49,Química Húmeda,"84,9",,80,,70391,"82,8",,"39,9","4,2","2,05","8,12","50,4","35,2","15,2",,,,,,,,,,,,
50,50,Química Húmeda,"90,6",,"81,7",,75039,"88,3",,"39,5","4,46","1,8","8,03","51,7",34,"16,1",,,,,,,,,,,,
51,51,Química Húmeda,"90,7",,"77,7",,76588,"90,1",,"35,5","4,51","1,69","8,72","50,2","34,9","13,4",,,,,,,,,,,,
52,52,Química Húmeda,"92,2",,"73,7",,75260,"88,5",,"45,8","3,76","2,4","7,98",46,"39,9","17,3",,,,,,,,,,,,
53,53,Química Húmeda,"89,1",,"76,7",,74818,88,,"44,8","3,67","2,13","8,04","49,5","36,7","18,6",,,,,,,,,,,,
54,54,Química Húmeda,"82,8",,74,,71055,"83,6",,"45,4","4,11","2,14","8,2","43,9","41,7","16,7",,,,,,,,,,,,
55,55,Química Húmeda,"86,5",,"76,7",,72604,"85,4",,"38,8","4,48","2,38","8,79","46,4",38,18,,,,,,,,,,,,
56,56,Química Húmeda,"81,2",,76,,67292,"79,2",,41,"3,87","1,92","7,9","49,3",37,"16,9",,,,,,,,,,,,
57,57,Química Húmeda,88,,74,,73490,"86,5",,"46,4","3,56","2,06","7,54",50,"36,8","15,2",,,,,,,,,,,,
58,58,Química Húmeda,"87,5",,"72,7",,73932,87,,"45,2","3,82","2,27","8,11","47,1","38,7","16,9",,,,,,,,,,,,
59,59,Química Húmeda,"85,9",,70,,67734,"79,7",,"43,8","4,82","2,73","6,15",46,"40,3","23,1",,,,,,,,,,,,
60,60,Química Húmeda,"84,4",,76,,72383,"85,2",,"41,7","5,41","2,22","6,52","46,5","39,4",22,,,,,,,,,,,,
61,61,Química Húmeda,"89,8",,77,,75703,"89,1",,"42,3","4,84","2,47","5,46","46,6","40,6","23,5",,,,,,,,,,,,
62,62,Química Húmeda,"89,1",,73,,71719,"84,4",,"42,8","5,36","2,3","6,73","43,7","41,9","20,4",,,,,,,,,,,,
63,63,Química Húmeda,"89,1",,73,,73490,"86,5",,"39,9","6,06","2,17","6,01","45,8","39,9","22,4",,,,,,,,,,,,
64,64,Química Húmeda,"79,7",,79,,64414,"75,8",,"35,5","5,35","2,12","6,3","49,2","37,1","23,7",,,,,,,,,,,,
65,65,Química Húmeda,"91,1",,77,,76146,"89,6",,"42,2","5,11","2,72","5,69","42,2","44,3","19,8",,,,,,,,,,,,
66,66,Química Húmeda,"85,9",,80,,76367,"89,8",,"36,6","5,57","2,25","5,78","50,8","35,6","21,6",,,,,,,,,,,,
67,67,Química Húmeda,"90,6",,77,,76146,"89,6",,41,"5,85","2,71","5,95",45,"40,4","20,9",,,,,,,,,,,,
68,68,Química Húmeda,"85,9",,75,,72604,"85,4",,"38,5","5,99","2,11","6,07","51,5","34,3","23,8",,,,,,,,,,,,
69,69,Química Húmeda,"96,9",,75,,79688,"93,8",,"39,6","5,21","2,42","5,85","47,2","39,3","24,8",,,,,,,,,,,,
70,70,Química Húmeda,"89,8",,70,,75039,"88,3",,"46,9","5,42","2,53","6,25","44,8",41,"22,7",,,,,,,,,,,,
71,71,Química Húmeda,"91,4",,71,,77031,"90,6",,"46,4","4,52","2,51","5,57","46,6","40,7","21,1",,,,,,,,,,,,
72,72,Química Húmeda,"89,1",,75,,73490,"86,5",,"43,2","5,14","2,77","5,75","42,6","43,7","21,4",,,,,,,,,,,,
73,73,Química Húmeda,"89,1",,72,,74818,88,,"40,5","5,4","2,31","5,82","45,7","40,8","28,5",,,,,,,,,,,,
74,74,Química Húmeda,"91,4",,76,,69948,"82,3",,"41,7","4,97","2,44","6,4","43,1","43,1","17,9",,,,,,,,,,,,
75,75,Química Húmeda,"90,6",,74,,77695,"91,4",,"36,7","5,49","2,56","5,87","44,7","41,4","26,5",,,,,,,,,,,,
76,76,Química Húmeda,"84,4",,74,,71055,"83,6",,"42,3","4,96","2,45","6,61",41,45,"22,3",,,,,,,,,,,,
77,77,Química Húmeda,"86,7",,75,,73711,"86,7",,"41,5","5,19","2,19","6,46","46,5","39,7","25,3",,,,,,,,,,,,
78,78,Química Húmeda,"88,3",,75,,77031,"90,6",,"40,6","5,46","2,33","6,25","47,5","38,5","24,4",,,,,,,,,,,,
79,79,Química Húmeda,"86,7",,73,,71719,"84,4",,"41,2","5,47","2,34","6,06","47,2","38,9",26,,,,,,,,,,,,
80,80,Química Húmeda,"88,5",,73,,73490,"86,5",,"41,6","5,53","2,36","6,1","44,8","41,2","21,9",,,,,,,,,,,,
81,81,Química Húmeda,93,,70,,71055,"83,6",,"56,7","4,14","2,61","8,49","42,9","41,8","20,6",,,,,,,,,,,,
82,82,Química Húmeda,"83,6",,79,,63750,75,,"43,8","5,18","2,44","8,05","42,3","42,1","20,9",,,,,,,,,,,,
