id,id_estado,cve_muni,clave,nombre,nombre_sa
1,1,1,1001,Aguascalientes,Aguascalientes
2,1,2,1002,Asientos,Asientos
3,1,3,1003,Calvillo,Calvillo
4,1,4,1004,Cosío,Cosio
5,1,5,1005,Jesús María,Jesus Maria
6,1,6,1006,Pabellón de Arteaga,Pabellon De Arteaga
7,1,7,1007,Rincón de Romos,Rincon De Romos
8,1,8,1008,San José de Gracia,San Jose De Gracia
9,1,9,1009,Tepezalá,Tepezala
10,1,10,1010,El Llano,El Llano
11,1,11,1011,San Francisco de los Romo,San Francisco De Los Romo
12,2,1,2001,Ensenada,Ensenada
13,2,2,2002,Mexicali,Mexicali
14,2,3,2003,Tecate,Tecate
15,2,4,2004,Tijuana,Tijuana
16,2,5,2005,Playas de Rosarito,Playas De Rosarito
17,3,1,3001,Comondú,Comondu
18,3,2,3002,Mulegé,Mulege
19,3,3,3003,La Paz,La Paz
20,3,8,3008,Los Cabos,Los Cabos
21,3,9,3009,Loreto,Loreto
22,4,1,4001,Calkiní,Calkini
23,4,2,4002,Campeche,Campeche
24,4,3,4003,Carmen,Carmen
25,4,4,4004,Champotón,Champoton
26,4,5,4005,Hecelchakán,Hecelchakan
27,4,6,4006,Hopelchén,Hopelchen
28,4,7,4007,Palizada,Palizada
29,4,8,4008,Tenabo,Tenabo
30,4,9,4009,Escárcega,Escarcega
31,4,10,4010,Calakmul,Calakmul
32,4,11,4011,Candelaria,Candelaria
33,5,1,5001,Abasolo,Abasolo
34,5,2,5002,Acuña,Acuña
35,5,3,5003,Allende,Allende
36,5,4,5004,Arteaga,Arteaga
37,5,5,5005,Candela,Candela
38,5,6,5006,Castaños,Castaños
39,5,7,5007,Cuatro Ciénegas,Cuatro Cienegas
40,5,8,5008,Escobedo,Escobedo
41,5,9,5009,Francisco I. Madero,Francisco I. Madero
42,5,10,5010,Frontera,Frontera
43,5,11,5011,General Cepeda,General Cepeda
44,5,12,5012,Guerrero,Guerrero
45,5,13,5013,Hidalgo,Hidalgo
46,5,14,5014,Jiménez,Jimenez
47,5,15,5015,Juárez,Juarez
48,5,16,5016,Lamadrid,Lamadrid
49,5,17,5017,Matamoros,Matamoros
50,5,18,5018,Monclova,Monclova
51,5,19,5019,Morelos,Morelos
52,5,20,5020,Múzquiz,Muzquiz
53,5,21,5021,Nadadores,Nadadores
54,5,22,5022,Nava,Nava
55,5,23,5023,Ocampo,Ocampo
56,5,24,5024,Parras,Parras
57,5,25,5025,Piedras Negras,Piedras Negras
58,5,26,5026,Progreso,Progreso
59,5,27,5027,Ramos Arizpe,Ramos Arizpe
60,5,28,5028,Sabinas,Sabinas
61,5,29,5029,Sacramento,Sacramento
62,5,30,5030,Saltillo,Saltillo
63,5,31,5031,San Buenaventura,San Buenaventura
64,5,32,5032,San Juan de Sabinas,San Juan De Sabinas
65,5,33,5033,San Pedro,San Pedro
66,5,34,5034,Sierra Mojada,Sierra Mojada
67,5,35,5035,Torreón,Torreon
68,5,36,5036,Viesca,Viesca
69,5,37,5037,Villa Unión,Villa Union
70,5,38,5038,Zaragoza,Zaragoza
71,6,1,6001,Armería,Armeria
72,6,2,6002,Colima,Colima
73,6,3,6003,Comala,Comala
74,6,4,6004,Coquimatlán,Coquimatlan
75,6,5,6005,Cuauhtémoc,Cuauhtemoc
76,6,6,6006,Ixtlahuacán,Ixtlahuacan
77,6,7,6007,Manzanillo,Manzanillo
78,6,8,6008,Minatitlán,Minatitlan
79,6,9,6009,Tecomán,Tecoman
80,6,10,6010,Villa de Álvarez,Villa De Alvarez
81,7,1,7001,Acacoyagua,Acacoyagua
82,7,2,7002,Acala,Acala
83,7,3,7003,Acapetahua,Acapetahua
84,7,4,7004,Altamirano,Altamirano
85,7,5,7005,Amatán,Amatan
86,7,6,7006,Amatenango de la Frontera,Amatenango De La Frontera
87,7,7,7007,Amatenango del Valle,Amatenango Del Valle
88,7,8,7008,Angel Albino Corzo,Angel Albino Corzo
89,7,9,7009,Arriaga,Arriaga
90,7,10,7010,Bejucal de Ocampo,Bejucal De Ocampo
91,7,11,7011,Bella Vista,Bella Vista
92,7,12,7012,Berriozábal,Berriozabal
93,7,13,7013,Bochil,Bochil
94,7,14,7014,El Bosque,El Bosque
95,7,15,7015,Cacahoatán,Cacahoatan
96,7,16,7016,Catazajá,Catazaja
97,7,17,7017,Cintalapa,Cintalapa
98,7,18,7018,Coapilla,Coapilla
99,7,19,7019,Comitán de Domínguez,Comitan De Dominguez
100,7,20,7020,La Concordia,La Concordia
101,7,21,7021,Copainalá,Copainala
102,7,22,7022,Chalchihuitán,Chalchihuitan
103,7,23,7023,Chamula,Chamula
104,7,24,7024,Chanal,Chanal
105,7,25,7025,Chapultenango,Chapultenango
106,7,26,7026,Chenalhó,Chenalho
107,7,27,7027,Chiapa de Corzo,Chiapa De Corzo
108,7,28,7028,Chiapilla,Chiapilla
109,7,29,7029,Chicoasén,Chicoasen
110,7,30,7030,Chicomuselo,Chicomuselo
111,7,31,7031,Chilón,Chilon
112,7,32,7032,Escuintla,Escuintla
113,7,33,7033,Francisco León,Francisco Leon
114,7,34,7034,Frontera Comalapa,Frontera Comalapa
115,7,35,7035,Frontera Hidalgo,Frontera Hidalgo
116,7,36,7036,La Grandeza,La Grandeza
117,7,37,7037,Huehuetán,Huehuetan
118,7,38,7038,Huixtán,Huixtan
119,7,39,7039,Huitiupán,Huitiupan
120,7,40,7040,Huixtla,Huixtla
121,7,41,7041,La Independencia,La Independencia
122,7,42,7042,Ixhuatán,Ixhuatan
123,7,43,7043,Ixtacomitán,Ixtacomitan
124,7,44,7044,Ixtapa,Ixtapa
