id,id_ciclo,dco,ppanual,ppco,tmanual,tmaxanual,tminanual,tmco,tmaxco,tminco,ucaco,htemp>30,htemp<5,ghi(mj/m2),ss
1,1,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
2,2,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
3,3,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
4,4,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
5,5,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
6,6,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
7,7,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
8,8,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
9,9,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
10,10,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
11,11,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
12,12,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
13,13,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
14,14,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
15,15,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
16,16,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
17,17,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
18,18,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
19,19,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
20,20,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
21,21,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
22,22,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
23,23,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
24,24,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
25,25,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
26,26,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
27,27,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
28,28,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
29,29,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
30,30,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
31,31,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
32,32,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
33,33,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
34,34,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
35,35,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
36,36,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
37,37,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
38,38,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
39,39,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
40,40,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
41,41,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
42,42,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
43,43,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
44,44,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
45,45,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
46,46,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
47,47,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
48,48,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
49,49,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
50,50,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
51,51,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
52,52,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
53,53,125,"670,8","574,6","18,8972","34,4","3,4","19,0623","29,6",8,"1218,65",0,0,"2528,03",85000
