id,id_municipio,Latitud Norte (DMS),Longitud Oeste (DMS),latitud_y_gps,longitud_x_gps,altitud
1,609,21º 23.62’,102º 20.51’,"21,393667","-102,341833",1788
2,589,21º 15.87’,102º 02.20’,"21,2645","-102,036666",1848
3,610,20º 57.06’,102º 10.08’,"20,951","-102,168",2096
4,647,21º 02.82’,102º 37.40’,"21,047","-102,623333",1818
5,537,20º 44.42’,102º 50.08’,"20,740333","-102,834666",1809
6,609,21º 17.76’,102º 18.18’,"21,296","-102,303",1841
7,609,21º 24.34’,102º 19.48’,"21,405666","-102,324666",1858
8,8,20º 41.67’,102º 35.19’,"20,6945","-102,5865",1935
9,614,21º 02.57’,102º 56.98’,"21,042833","-102,949666",1718
10,609,21º23’37.30’’,102º20’30.40’’,"21,393694","-102,341777",1788
11,589,21º18’27.30’’,102º02’46.70’’,"21,307583","-102,046305",1869
12,614,21º02’36.80’’,102º18’47.10’’,"21,043555","-102,313083",1896
13,582,21º07’51.8’’,102º27’16.8’’,"21,131055","-102,454666",1823
14,537,20º43’20.5’’,102º56’59.7’’,"20,722361","-102,949916",1712
15,629,20º52’34.40’’,102º42’54.70’’,"20,876222","-102,715194",1964
16,609,21º23’37.42’’,102º20’30.54’’,"21,393727","-102,341816",1788
17,571,21º28’47.63’’,102º16’51.55’’,"21,479897","-102,280986",1869
18,614,21º01’26.46’’,102º29’15.99’’,"21,024016","-102,487775",1873
19,629,20º52’34.06’’,102º42’54.89’’,"20,876127","-102,715247",1964
20,609,21º24’21.55’’,102º20’12.50’’,"21,405986","-102,336805",1823
21,589,21º18’27.03’’,102º02’46.57’’,"21,307508","-102,046269",1869
22,571,21º29’00.59’’,102º16’51.70’’,"21,483497","-102,281027",1865
23,589,21º18’27.31’’,102º02’46.67’’,"21,307586","-102,046297",1869
24,629,"20°52'20.66""","102°42'45.70""","20,872405","-102,712694",1961
25,660,"20°45'12.95""","103°06'48.84""","20,753597","-103,113566",1701
